Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45001472, AMY'S, SPINACH PIZZA IN A POCKET SANDWICH, UPC: 042272001736"
Nutrient,Unit,"1 serving = 128.0g",1Value per 100 g,
Proximates
"Energy",kcal,280,219
"Protein",g,13.00,10.16
"Total lipid (fat)",g,9.00,7.03
"Carbohydrate, by difference",g,37.00,28.91
"Fiber, total dietary",g,4.0,3.1
"Sugars, total",g,3.00,2.34
Minerals
"Calcium, Ca",mg,200,156
"Iron, Fe",mg,1.43,1.12
"Sodium, Na",mg,460,359
Vitamins
"Vitamin C, total ascorbic acid",mg,2.4,1.9
"Vitamin A, IU",IU,300,234
Lipids
"Fatty acids, total saturated",g,3.994,3.120
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,15,12
Amino Acids
Other
Ingredients
"ORGANIC WHEAT AND WHOLE WHEAT FLOUR, FILTERED WATER, ORGANIC TOMATO PUREE, PART-SKIM MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CULTURE, SALT, ENZYMES [WITHOUT ANIMAL ENZYMES OR RENNET]), ORGANIC SPINACH, FETA CHEESE (PASTEURIZED MILK, SALT, CULTURE, ENZYMES [WITHOUT ANIMAL ENZYMES OR RENNET]), ORGANIC ONIONS, ORGANIC TOFU (FILTERED WATER, ORGANIC SOYBEANS, NIGARI [MAGNESIUM CHLORIDE, A NATURAL FIRMING AGENT]), EXTRA VIRGIN OLIVE OIL, HONEY, ORGANIC CORNMEAL, ORGANIC GARLIC, SPICES, GRADE AA BUTTER (CREAM, SALT), SEA SALT, WHEAT GLUTEN, YEAST, ORGANIC EVAPORATED CANE SYRUP, BLACK PEPPER." Date last updated by company: 07/02/2015
